제목,제작 비용 ($),북미 박스오피스 수익 ($),전세계 박스오피스 수익 ($),개봉 주말 수익 ($),상영 등급,장르,상영관 수,상영 시간,개봉 연도,영화 유형
R.I.P.D.,130000000,33618855.0,79076678.0,12691415.0,PG-13,Action,2852.0,98.0,2013,0
How to Train Your Dragon: The Hidden World,129000000,160799505.0,521214533.0,55022245.0,PG,Adventure,4286.0,104.0,2019,0
"The Twilight Saga: Breaking Dawn, Part 1",127500000,281287133.0,688288353.0,138122261.0,PG-13,Drama,4066.0,117.0,2011,2
Dinosaur,127500000,137748063.0,356148063.0,38854851.0,PG,Adventure,3319.0,82.0,2000,0
Logan,127000000,226277068.0,614202315.0,88411916.0,R,Action,4071.0,135.0,2017,0
Night at the Museum: Secret of the Tomb,127000000,113746621.0,353756621.0,17100520.0,PG,Adventure,3914.0,97.0,2014,0
Harry Potter and the Deathly Hallows: Part II,125000000,381193157.0,1316355322.0,169189427.0,PG-13,Adventure,4375.0,131.0,2011,1
The Hunger Games: Mockingjay - Part 1,125000000,337135885.0,766575131.0,121897634.0,PG-13,Thriller/Suspense,4151.0,123.0,2014,2
Harry Potter and the Sorcerer’s Stone,125000000,317871467.0,965054122.0,90294621.0,PG,Adventure,3672.0,152.0,2001,0
Jumanji: The Next Level,125000000,316831246.0,798332900.0,59251543.0,PG-13,Adventure,4227.0,123.0,2019,0
Harry Potter and the Deathly Hallows: Part I,125000000,296131568.0,951767705.0,125017372.0,PG-13,Adventure,4125.0,146.0,2010,2
The Da Vinci Code,125000000,217536138.0,767820459.0,77073388.0,PG-13,Thriller/Suspense,3757.0,152.0,2006,0
X-Men 2,125000000,214949694.0,406348630.0,85558731.0,PG-13,Action,3749.0,135.0,2003,0
Fast Five,125000000,210031325.0,630163454.0,86198765.0,PG-13,Action,3793.0,130.0,2011,0
Teenage Mutant Ninja Turtles,125000000,191204754.0,485004754.0,65575105.0,PG-13,Adventure,3980.0,101.0,2014,0
Sherlock Holmes: A Game of Shadows,125000000,186848418.0,535663443.0,39637079.0,PG-13,Action,3703.0,129.0,2011,0
The Day After Tomorrow,125000000,186740799.0,555840117.0,68743584.0,PG-13,Adventure,3444.0,123.0,2004,0
The Boss Baby,125000000,175003033.0,527965936.0,50198902.0,PG,Adventure,3829.0,97.0,2017,0
Clash of the Titans,125000000,163214888.0,493214888.0,61235105.0,PG-13,Action,3802.0,106.0,2010,0
Trolls,125000000,153707064.0,343242613.0,46581142.0,PG,Adventure,4066.0,93.0,2016,0
Godzilla,125000000,136314294.0,376000000.0,93188384.0,PG-13,Action,3952.0,123.0,1998,0
Prometheus,125000000,126477084.0,402448265.0,51050101.0,R,Thriller/Suspense,3442.0,124.0,2012,0
The Bourne Legacy,125000000,113203870.0,280355920.0,38142825.0,PG-13,Thriller/Suspense,3753.0,135.0,2012,0
Batman & Robin,125000000,107325195.0,238317814.0,42872605.0,PG-13,Action,2942.0,125.0,1997,0
Skyscraper,125000000,68420120.0,304868961.0,24905015.0,PG,Action,3822.0,103.0,2018,0
The Call of the Wild,125000000,62342368.0,107360936.0,24791624.0,PG,Adventure,3914.0,100.0,2020,0
Total Recall,125000000,58877969.0,211856088.0,25577758.0,PG-13,Action,3601.0,117.0,2012,0
Assassin’s Creed,125000000,54647948.0,240759682.0,10278225.0,PG-13,Action,2996.0,116.0,2016,0
Monster Trucks,125000000,33370166.0,61642798.0,10950705.0,PG-13,Adventure,3119.0,104.0,2016,0
The 13th Warrior,125000000,32698899.0,61698899.0,10267756.0,R,Action,2313.0,103.0,1999,0
How the Grinch Stole Christmas,123000000,260348825.0,345445403.0,55820330.0,PG,Adventure,3256.0,105.0,2000,0
Mission: Impossible 2,120000000,215409889.0,549588516.0,57845297.0,PG-13,Action,3669.0,126.0,2000,0
The Perfect Storm,120000000,182618434.0,328711434.0,41325042.0,PG-13,Drama,3407.0,129.0,2000,0
Jason Bourne,120000000,162192920.0,416168316.0,59215365.0,PG-13,Action,4039.0,123.0,2016,0
Uncharted,120000000,148648820.0,401748820.0,44010155.0,PG-13,Adventure,4275.0,116.0,2022,0
Fantastic Four: Rise of the Silver Surfer,120000000,131921738.0,289480691.0,58051684.0,PG,Action,3963.0,91.0,2007,0
Life of Pi,120000000,124987022.0,619310368.0,22451514.0,PG,Drama,2946.0,125.0,2012,0
